east,north,cat,area
918452.44122885,1179933.76410329,23,89993.96074200
923912.58230543,1180293.73064537,25,188087.37795200
961143.54426167,1180263.73343353,51,132291.12229100
968763.74114876,1180053.75295065,55,85494.26270500
969348.75626411,1180293.73064537,58,129591.30346900
1010929.83061652,1180293.73064537,86,72895.10820100
1018055.01471371,1180293.73064537,89,51296.55762300
1019975.06432305,1180173.74179801,91,57596.13487500
1020860.08718986,1180293.73064537,92,58496.07448300
1050500.85303415,1180293.73064537,114,179987.92148500
1064691.21967823,1180233.73622169,129,58496.07448300
1065201.23285571,1180293.73064537,130,71095.22898700
1121392.68470424,1179543.80034937,219,559762.43581800
1045415.72164689,1179933.76410329,256,89094.02113500
1093296.95877998,1180143.74458617,264,156589.49169200
1107997.33860154,1180203.73900985,267,52196.49723100
1095382.01265263,1180143.74458617,323,78294.74584600
960873.53728535,1180143.74458617,352,65695.59134200
1023710.16082873,1180173.74179801,366,53096.43683800
1031525.36275428,1180113.74737433,368,82794.44388300
1049570.82900462,1179153.83659544,371,198886.65324100
1056381.00496277,1179933.76410329,374,103493.05485400
886381.61259773,1180143.74458617,387,51296.55762300
892816.77886656,1179993.75852697,390,169188.64619600
1048700.80652539,1179993.75852697,415,56696.19526800
1087881.81886612,1180113.74737433,426,60295.95369700
917582.41874961,1179603.79477305,474,625458.02716000
1032485.38755895,1179993.75852697,489,137690.75993600
1044380.69490436,1179843.77246777,491,358175.96375500
1057146.024729,1179843.77246777,493,86394.20231300
924692.60245923,1179993.75852697,607,106192.87367600
1011109.8352674,1179873.76967961,732,100793.23603100
1095487.01536564,1179783.77804409,752,76494.86663100
1005619.69341567,1179663.78919673,788,180887.86109200
926057.63772837,1179573.79756121,816,133191.06189900
1026860.24221907,1179753.78083225,892,71095.22898700
968628.7376606,1179633.79198489,932,78294.74584600
995464.43102874,1179513.80313753,939,237584.05636000
1042955.65808492,1179813.77525593,953,52196.49723100
894586.82460017,1179423.81150201,968,280781.15751600
955833.40706082,1179663.78919673,977,143990.33718800
960918.53844807,1179783.77804409,978,89094.02113500
919652.47223469,1179723.78362041,1020,53996.37644600
1023470.15462757,1179393.81429017,1034,103493.05485400
963723.61092423,1179603.79477305,1074,62995.77252000
1023005.1426128,1179663.78919673,1084,169188.64619600
1004194.65659623,1179603.79477305,1122,53996.37644500
1033550.41507664,1179453.80871385,1129,152989.73326200
1092531.93901375,1179663.78919673,1141,96293.53799400
1050350.84915842,1179243.82823097,1182,197086.77402600
