ITAM Sheet,TES Sheet
Aberdeen PG,ABERDEEN PROVING GROUND
Butner,Butner
Camp Atterbury,CAMP ATTERBURY
"TX - Swift, Bowie, Maxey, Wolters",CAMP BOWIE (State)
Camp Blanding,MTC CAMP BLANDING
Camp Bullis,Camp Bullis
Camp Dawson,CAMP DAWSON
Camp Dodge Joint MCA,Camp Dodge
Camp Edwards,MTA Camp Edwards
Camp Grafton,Camp Grafton
Camp Grayling,MTC-H CAMP GRAYLING
Camp Gruber,CAMP GRUBER
Camp Guernsey,Camp Guernsey
Camp Joseph T Robinson,Camp Joseph T Robinson
Camp Maxey,CAMP MAXEY
Camp Minden TS,Camp Minden TS
Camp Navajo,CAMP NAVAJO
Camp Ripley,CAMP RIPLEY
San Luis Obispo,Camp San Louis Obispo
Camp Shelby,MTA CAMP SHELBY
Devens,Devens
Dugway PG,DUGWAY PROVING GROUND
Ethan Allen,NG TS Ethan Allen Range
Fort A.P. Hill,FORT A P HILL
FORT BELVOIR,FORT BELVOIR
Fort Benning,FORT BENNING
Fort Bliss,FORT BLISS
Fort Bragg,FORT BRAGG
Fort Campbell,FORT CAMPBELL
Fort Carson / PCMS,FORT CARSON
Fort Chaffee,FORT CHAFFEE MANEUVER TRAINING CTR
Fort Custer,CTC Fort Custer Trng Center
Fort Detrick,FORT DETRICK
Fort Dix,FORT DIX
Fort Drum,FORT DRUM
Fort Eustis,FORT EUSTIS
FORT GEORGE G MEADE,FORT GEORGE G MEADE
Fort Gordon,FORT GORDON
Fort Hood,FORT HOOD
Fort Huachuca,FORT HUACHUCA
Fort Hunter Liggett ,FORT HUNTER LIGGETT
Indiantown Gap,Fort Indiantown Gap
Fort Jackson,FORT JACKSON
Fort Knox,FORT KNOX
Fort Leavenworth,FORT LEAVENWORTH
Fort Lee,FORT LEE
Fort Leonard Wood,FORT LEONARD WOOD
McClellan,Fort McClellan ARNG Training Center
Fort McCoy,Fort McCoy
Fort Pickett,FORT PICKETT ARNG MTC
Fort Polk,FORT POLK
Fort Riley,FORT RILEY
Fort Rucker,FORT RUCKER
Fort Sill,FORT SILL
Fort Stewart,FORT STEWART
JOINT BASE LEWIS-MCCHORD,JOINT BASE LEWIS-MCCHORD
Macon TS,MACON TRAINING SITE
Marseilles TS,Marseilles (MTA Training Area)
Military Ocean Terminal Sunny Point,MILITARY OCEAN TERMINAL SUNNY POINT
McCain,McCain
McCrady,McCrady
MTC-H Camp Roberts,MTC-H CAMP ROBERTS
Fort Irwin,NATIONAL TRAINING CENTER AND FORT IRWIN
Beauregard Training Range,NG Beauregard Training Range
Gowan (Orchard),Orchard TA
Parks Reserve Forces Training Area,Parks RFTA
Ravenna,Ravenna Training and Log Site
VTS CATOOSA,VTS Catoosa
MTA Fort Wm Henry Harrison,Fort Wm Henry Harrison
MTA-L Camp Williams,Camp Williams
Rilea,Camp Rilea
Tullahoma,VTS Tullahoma
Warren Grove Range,Warren Grove Range
West Point,WEST POINT MILITARY RESERVATION
WHITE SANDS MISSILE RANGE,WHITE SANDS MISSILE RANGE
Yakima Training Center,YAKIMA TRAINING CENTER
Yuma,YUMA PROVING GROUND
