"a_Own_Name","totarea"
"0125",19753567.448387
"0130",27253780.614294
"0145",101286051.423188
"0165",37996.349846
"0310",19889.274653
"0315",28397584.57127
"0320",187704516.181966
"0325",128346849.360245
"0330",11934674.001365
"0395",3107660.606276
"0420",27434508.925853
"0510",3722565.898294
"0520",14991560.693503
"0610",417460.748534
"0620",1073367.951319
"0630",7137907.496493
"0655",869200.214269
"0660",3985782.99185
"0710",26874592.92834
"0800",3135671.856848
"0910",1168772.38686
NA,446249279.090577
