"a_Own_Name","totarea"
"0125",6440765.048645
"0135",4896050.099414
"0145",20450863.087219
"0165",6946108.063716
"0170",1524.444025
"0310",40792322.791632
"0315",15359591.551395
"0330",53031869.017354
"0340",32959.242686
"0380",4990.616372
"0390",8916.240432
"0395",1692995.236186
"0420",786467.723126
"0510",103224909.423309
"0520",361446.719554
"0610",9053046.240478
"0620",800048.015135
"0630",1052129.720294
"0660",37664669.57253
"0710",25720366.267141
"0800",4611479.886413
"0810",1575094.343467
"0910",16933005.408007
NA,836132216.014744
