"a_Own_Name","totarea"
"0125",28075950.77555
"0135",67974271.084939
"0145",21275796.168458
"0165",2799063.478915
"0170",2252204.060218
"0310",25131713.991903
"0315",2172757.823018
"0320",12358.560482
"0330",88253820.150259
"0340",296253066.988594
"0375",98594.005004
"0380",46680.440298
"0390",376627.532306
"0410",5517855.101392
"0420",58343.965578
"0510",46819003.092212
"0520",41225347.156699
"0610",175376.299861
"0620",2390693.108474
"0630",6667222.254634
"0660",8928513.457944
"0710",167403532.916596
"0800",1043339.997639
"0910",62008433.798558
NA,2569823935.08634
