"a_Own_Name","totarea"
"BLM",610889.100409
"CITY",52522524.689069
"CNTY",53651343.291454
"DESG",131660114.214979
"FWS",543725371.445852
"JNT",4390231.511371
"NGO",104783785.474242
"NOAA",12049470.251016
"NPS",120782293.910828
"OTHF",883197.185666
"OTHS",283600323.561247
"PVT",842851798.573415
"REG",14477690.342171
"RWD",11196.597578
"SDC",43764187.561837
"SDNR",154863843.270873
"SFW",245775447.904826
"SPR",185439548.210711
"UNK",461406384.455127
"UNKL",1965573.86809
"USFS",1420104.434134
NA,22215525646.8107
