Installation,Prioritization,Category,Common Name,Scientific Name,Status,Onsite/ Contiguous (Adjacent),Dispersal mode,Disperal range (max) km,Dispersal range (average) km,Primary habitat (NLCD cat),Secondary habitat (NLCD cat),Microhabitat,NWI category,Critical Habitat (y/n),Residency,# extant pops (# occurrences),# pops good viability,Resident status,Recovery Plan (y/n),"RP calls for new pops (translocation, reintroduction etc) (y/n)","HCP, CCA, CCAA, CP (#)",Comments
FORT HUACHUCA,1,Amphibian,"Frog, Chiricahua Leopard",Rana chiricahuensis,THREATENED,CONTIGUOUS,terrestrial / water,9,0.5,Emergent herbaceous wetlands,open water,"consists of permanent or nearly permanent aquatic
habitats from about 3200-8,900 ft (975-2,715 m) elevation with deep (greater than
20 in (0.5 m)) pools in which nonnative predators are absent or occur at such low
densities and in complex habitats to allow persistence of Chiricahua leopard frogs
(USFWS 2007).",P,Y,Resident,130,13,Resident,Y,Y,5,This species must be managed in metapopulation framework. That is the goal of the recovery plan consisting of a source and several nearby populations
JOINT BASE LEWIS-MCCHORD,1,Amphibian,"Frog, Oregon Spotted (formerly spotted frog)",Rana pretiosa,THREATENED,ONSITE,terrestrial / water,3,0.5,Emergent herbaceous wetlands,open water,"highly aquatic and generally avoids dry uplands. It is rarely found far from permanent quiet water. Usually it occurs in vegetated shallows or among grasses or sedges along the margins of streams, lakes, ponds (including those behind beaver dams), oxbows, springs, and marshes",P,Y,Resident,22,4,Resident,N,N/A,7,
Camp San Louis Obispo,1,Amphibian,"Frog, California Red-legged",Rana draytonii,THREATENED,ONSITE,terrestrial,3.6,1.6,Emergent herbaceous wetlands,,,"P,R3,R4",Y,Resident,238,8,Resident,Y (2002),Y,39,
Parks RFTA,1,Amphibian,"Frog, California Red-legged",Rana draytonii,THREATENED,ONSITE,terrestrial,3.6,1.6,Emergent herbaceous wetlands,,,"P,R3,R4",Y,Resident,238,8,Resident,Y (2002),Y,39,
Parks RFTA,1,Amphibian,"Salamander, California Tiger (Central CA DPS, not including Santa Barbara and Sonoma DPS)",Ambystoma californiense,THREATENED,CONTIGUOUS,terrestrial,2.2,0.25,Grassland/herbaceous,Deciduous forest,"Lives in vacant or mammal-occupied burrows (e.g., California ground squirrel, valley pocker gopher) (Trenham 2001), occasionally other underground retreats, throughout most of the year; in grassland, savanna, or open woodland habitats.",P,N,Resident,638,unknown (few- let's say 20),Resident,N (almost done),N/A (but it will call for translocation),13,Recovery plan almost done. Calls for translocation and metapopulation management
FORT HUNTER LIGGETT,1,Amphibian,"Salamander, California Tiger (Central CA DPS, not including Santa Barbara and Sonoma DPS)",Ambystoma californiense,THREATENED,CONTIGUOUS,terrestrial,2.2,0.25,Grassland/herbaceous,Deciduous forest,"Lives in vacant or mammal-occupied burrows (e.g., California ground squirrel, valley pocker gopher) (Trenham 2001), occasionally other underground retreats, throughout most of the year; in grassland, savanna, or open woodland habitats.",P,N,Resident,638,unknown (few- let's say 20),Resident,N (almost done),N/A (but it will call for translocation),13,Recovery plan almost done. Calls for translocation and metapopulation management
FORT STEWART,1,Amphibian,"Salamander, Frosted Flatwoods",Ambystoma cingulatum,THREATENED,ONSITE,terrestrial,1.7,0.45,Woody Wetlands,Herbaceous wetlands,"fallen log/debris, soil",PFO4,Y,resident,37,unknown,locally migrant,n,n/a,1,Prefer longleaf pine or slash pine flatwoods or savannas with wiregrass (Palustrine-Forested-Needle-leaved evergreen)
FORT HUACHUCA,1,Amphibian,"Salamander, Sonora Tiger",Ambystoma tigrinum stebbinsi,ENDANGERED,ONSITE,terrestrial,4,0.25,Emergent Herbaceous Wetlands,,cattle ponds or tanks,PUBH,N,resident and locally migrant,53,53,resident and locally migrant,y,n,0,"Primary habitat is cattle ponds - breed almost exclusively in them. Also, cienegas and vernal pools"
FORT HUNTER LIGGETT,1,Amphibian,"Toad, Arroyo (=arroyo southwestern)",Anaxyrus californicus,ENDANGERED,ONSITE,terrestrial,2,0.5,Woody Wetlands,Shrub/scrub,"washes, streams, arroyos, and adjacent upland",R4SB3,y,locally migrant,22,5,locally migrant,y,n,12,Migrates between nonbreeding terrestrial habitatst and breeding pools.  NWI category: Riverine-Intermittent-Streambed-Cobble-gravel
FORT HUNTER LIGGETT,1,Bird,"Condor, California (Entire, except where listed as experimental populations)",Gymnogyps californianus,ENDANGERED,ONSITE,Flight,200,70,Grassland/herbaceous,Shrub/scrub,Must forage in very open areas for takeoff and landing. Nests in rocky cliffs. Both are necessary to survival,,Y,Permanent Resident,5,0,Permanent Resident,Y,Y,3,"Condors can be found on installation year round, however they have not been documented breeding there, just foraging. "
